Course_Name,Course_Number,Dept_Code,Description,Notes,NumberOfCredits,SemesterOffered,prereq,CrossListed
"  Selected Topic for Core Curriculum ",399,ENGL," Course addressing broad intellectual concerns and accessible to all first-year students as part of the Primary Level Core."," May be taken concurrently with ",3,NULL,"ENGL 0210",NULL
"  Introduction to Computers and their Applications ",1000,CSCE," Introduction to computer-related terms and concepts. Scope limitations of the computer capabilities. Ethics and social impact of using computers. Basic skills related to the familiarity and efficient use of computer input/output devices, operating systems and computer communications. Training on popular computer applications (e.g. word processing, spread sheet, database and presentation graphics). Limited programming experience in a high-level language."," This course is intended for arts students.",3," Offered in fall and spring.",NULL,NULL
"  Introduction to Psychology ",1000,PSYC," Survey of the general field of psychology. Topics include the history of psychology, research methods, biological aspects of behavior, sensation and perception, learning and memory, cognition and language, consciousness and cognitive abilities, motivation and emotion, human development, health and stress, personality, psychological disorders and their treatment, and the social aspects of behavior.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Fundamentals of Computing I ",1001,CSCE," Introduces fundamental concepts and principles of computing systems, grand challenges in computing, analyzing and formulating solutions to multidisciplinary problems, basic algorithms for solving problems, as well as designing, implementing, and testing programs using one prime language and other supplementary languages. Using data and procedural abstractions as basic design principles, students learn how to design and implement basic data structures such as stacks and queues, and to apply various algorithms for operating on them. Also covers some numbering systems, data representation, and basic computer organization. The course uses the imperative and object-oriented paradigms.",NULL,3," Offered in fall and spring.","MACT 1111",NULL
"  Introduction to Engineering ",1001,ENGR," History of engineering. Engineering fields of specialization and curricula. The engineering profession: team work, professionalism, ethics, licensing, communication and societal obligations. Engineering support personnel and activities. Engineering approach to problem solving. Examples of major engineering projects. Course project."," The course must be taken in the year of admission to the engineering program.",1," Offered in fall and spring.",NULL,NULL
"  Physics for Poets ",1001,PHYS," A conceptual overview of classical and modern physics. Mechanics, properties of matter, heat, sound, electricity and magnetism, light, atomic and nuclear physics, relativity theory."," No credit for Thannawia Amma Math/Science students, or equivalent, or students majoring in any of the departments of the School of Sciences and Engineering.",3," Offered in fall and spring.",NULL,NULL
"  Introduction to Political Science ",1001,POLS," Methods of study and the nature of political phenomena; terminology and conceptual tools; origins, forms, and historical development of political organization; political institutions and functions; comparison of modern forms of political organization at the national, local, and international levels.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Chemistry and Society ",1003,CHEM," Not for credit for Science, Engineering and Computer Science majors.  Introduction to basic chemical principles; examples of chemistry in context of daily life and impact on society : nutrition, polymers, colors and pigments, drug development, energy storage, environmental pollution and control, agro chemicals and other related issues"," Not for credit for Science, Engineering and Computer Science majors",3," Offered in fall and spring.",NULL,NULL
"  Man and the Environment ",1004,CHEM," Chemistry of the environment. Principles of ecosystem structures, energy flow and elements cycles. Natural resources, Population and Development. Renewable energy. Pollution control and prevention: air pollution, global warming, the depletion of the ozone layer and water pollution. Hazardous substances. Solid waste and recycling. Pests and pest control. Sustainability."," Not for credit for science, engineering and computer science majors.",3," Offered in fall, spring and occasionally in summer.",NULL,NULL
"  General Chemistry I ",1005,CHEM," Chemical stoichiometry; atomic structure and periodicity; an overview of chemical bonding with a discussion of models and theories of covalent bonding; introduction to structure and chemistry of organic compounds.",NULL,3," Offered in fall, spring and occasionally in summer and winter.",NULL,NULL
"  Descriptive Geometry and Engineering Drawing ",1005,ENGR," Introductory descriptive geometry. Orthographic and pictorial drawing. Sectional views, auxiliary views, and conventions. Dimensioning. Free hand sketching, and both manual and computer-aided drafting.",NULL,2," Offered in fall and spring.",NULL,NULL
"  Science and Technology of Ancient Egypt ",1005,SCI," Development of civilization in ancient Egypt. Primitive time reckoning and measurement. Building materials. Outline of the different chemical arts and crafts which developed in Egypt as interpreted from mural paintings and works of art. Mummification. Aspects of mathematics and medicine in ancient Egypt.",NULL,3," Offered in fall and spring.",NULL,NULL
"  General Chemistry II ",1006,CHEM," Gases; thermochemistry; liquids and solids, properties of solutions; introduction to chemical kinetics, chemical equilibria, environmental pollution.",NULL,3," Offered in fall and spring.","CHEM 1005",NULL
"  Exploration of the Universe ",1009,SCI," An introduction to historical and conceptual developments in astronomy. Stars and galaxies: the sun as a case history in stellar evolution; the formation of elements in the stars. A survey of the sky with particular attention to the solar system: the members of the solar system as physical bodies with specific structures and as entities whose motion characteristics can be understood and predicted.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Freshman Seminar ",1010,CORE," This course is a cluster of distinct courses (topics may vary semester to semester) with shared goals and learning outcomes. All sections of CORE 1010 aim to introduce students to university-level academic study and the meaning and values of a liberal arts education. Through varied section topics, readings, films and other media, discussions and assignments, CORE 1010 will help students adapt and succeed in today’s university environment, as they develop their skills in critical thinking, information literacy, teamwork, and effective reading and communication. Courses focus on issues of lasting value and current relevance for students, and address questions such as “Who am I?” “What do citizenship and civic responsibility mean?” “How do I know what is true?” and “What is a good life?”",NULL,3," Fall and Spring. Summer only for students repeating the course.","RHET 1010",NULL
"  The Songs of America ",1010,MUSC," An introduction to popular American music via genre and performance. Study of discrete sets of American songs, drawn from the major genres of current popular American music, and identification of salient features of these genres."," Requires no previous musical training.",3,NULL,NULL,NULL
"  Vocal Methods ",1011,MUSC," An overview of the skills required to sing well. Training in vocal production, some sight-singing, and study of songs chosen by the instructor and by the student."," Requires no previous musical training.",3,NULL,NULL,NULL
"  Classical Mechanics, Sound and Heat ",1011,PHYS,NULL,NULL,3,NULL,NULL,NULL
"  Guitar and Piano: Accompaniment and improvisation “by ear” ",1012,MUSC," Students will acquire an understanding of the division of the octave into 12 semitones, and of basic related scales and chords. They will learn to play improvised song accompaniments on piano and guitar, and to develop more elaborate accompaniments over time."," Requires no previous musical training.",3,NULL,NULL,NULL
"  Libraries and Learning Technologies ",1020,LALT,NULL,NULL,0,NULL,NULL,NULL
